Storage Bin,Material,Material Description
R13L03,5019701,"MANIFOLD,AIR,G1/8 PORT,PUMP PN 1127608"
R13L03,5019702,"PISTON ASSY,HIDRAULIC,PROBLUE PN 1022658"
R13L03,5019703,"INSULATION,TANK,P4 PN 1029997"
R13L03,5019704,"PLUG,O RING,STR THD,1 5/16-12 PN 973583"
R13L03,5019705,"SERVICE KIT,PLUG,O-RG9/16-18 PN 105415"
R13L03,5019706,"Kit,Servic,Manifold,P4,P7&P10 PN 1028309"
R03L05,5019707,Fan 109S051 SANYO
R02L04,5019709,"Switch M-2012L/B, NKK"
R02L05,5019711,Panel board II type 6668
R02L01,5019715,Timing Belt 340-EV5GT-20 Unitta
R02L04,5019716,Push button IDEC AL6M-A13R
R02L04,5019717,"Light reflector FE-RR18, Azbil"
R10L03,5019718,"Connector 4 PIN Female Dia. 12,5 mm"
R02L04,5019721,"Circuit Protector NRF210-1A, IDEC"
R02L04,5019722,"Breaker EW50AAG-2P005B, FUJI"
R02L05,5019724,"Air combination AC40D-02DG, SMC"
R02L03,5019725,"Filter element VF-5E, MYOTOKU"
R03L05,5019729,"Power Supply DC MS2-H75, KEYENCE"
R02L04,5019730,"Circuit protector CP32DS/2, FUJI"
R03L05,5019731,"Emergency stop XA1E-BV304R, IDEC"
R02L04,5019732,Push Button IDEC LA4L-M1C54W
R02L04,5019733,Push Button IDEC LA4L-M1C54R
R02L04,5019734,Push Button IDEC LA4L-M1C54G
R03L05,5019735,Operator Panel Disp. HG2G-5FT22TF-B IDEC
R03L05,5019736,Push Button IDEC HW1L-M110Q4R
R03L05,5019737,Push Button IDEC HW1L-M110Q4G
R03L05,5019738,"Emergency stop HW1B-V401R, IDEC"
R02L04,5019740,"Breaker EW50AAG-3P030B4B, FUJI"
R03L05,5019741,"Lampu Indikator APS126DNW, IDEC"
R02L04,5019742,"Terminal Relay G3DZ-F4B DC24V, Omron"
R03L05,5019745,"Power supply DC PS3X-D24AFG, IDEC"
R03L05,5019748,"Selector Switch HW1S-2T20, IDEC"
R02L04,5019750,Push Button IDEC AB6Q-M1S
R02L04,5019751,Push Button A22L-TR-24A-01M Omron
R02L04,5019752,Push Button A22L-GG-24A-10M Omron
R02L04,5019754,"Fan T-MU1238A-41-GP, Oriental"
R02L04,5019755,"Breaker EW50AAG-3P020B4B, FUJI"
R02L04,5019760,"Circuit protector CP32E/5, FUJI"
R02L04,5019761,"Circuit protector CP32E/3, FUJI"
R02L04,5019762,"Circuit protector CP33E/10, FUJI"
R02L05,5019763,"Filter Regulator AW20-02BC-A, SMC"
R02L04,5019765,"Selector Switch A22S-2M-10, OMRON"
R03L05,5019767,"Gear Head 5GU3KB, Oriental"
R03L05,5019768,"Motor 5IK60GU-SF, Oriental"
R02L03,5019772,Bearing 698 ZZ NTN
R02L03,5019774,Bearing 6903 ZZ NTN
R02L03,5019776,Bearing 6901 ZZ NTN
R02L03,5019780,Bearing 7201C NTN
R02L05,5019785,MOTOR 5IK60GVH-SWM ORIENTAL
R02L03,5019793,Rubber Roll PN. 9922-98810
R02L03,5019794,"Bearing 6004 ZZ, NTN"
R08L03,5019799,"Dust Seal TC 31,5 x 63,5 x 10 mm, NBR"
R05L02,5019813,Bearing 6307 ZZ SKF
R17L03,5019814,Val. Prov. System VPS 504 S04 DUNGS 230V
R06L04,5019842,Kertas Amplas No 60
R09L01,5019850,Frame Fiter PIAB uk Dia 137 x 230 SS316L
R19L05,5019858,"Timing Belt 169L , L=13 Powergrip GATES"
R19L05,5019862,Baut L3 perseng M4 x 10 mm SS
R19L05,5019872,"Photoelectric LionEye2 ,Out put: NPN,PNP"
F0201,5019876,"Cat Putih KF-731 Pail, Kansai"
R26L04,5019878,"Double nipple SUS 304 1/4"""
R02L02,5019918,Penahan Sachet SS KD Mitsuhashi
L02L02,5019929,"Chute Up/Down Shaft Boss, Bronze"
R11L04,5019954,"Water Hardness Test Kit 2in 1, 1-200 ppm"
R27L05,5019967,Check Valve PVC 1  1/4 Inch
R32L02,5019968,"Pipa PVC 1 1/4"" AW RUCIKA"
R27L05,5019971,"Sock Drat Dalam 1 1/4"" PVC, Rucika"
R27L05,5019972,"Sock 1 1/4"" PVC Rucika"
R27L05,5019974,"Reduser PVC 1 1/2"" x 1 1/4"", Rucika"
R26L05,5019980,"Klem Slang SS HD 140-148, 5 Inchi"
R12L05,5019981,Cutter Blade Arm Spring PN. S1.B04.00345
R12L05,5019982,"Back Roller Assy TH240300, S1.B04.00066"
R32L02,5019988,Pipa SUS Ornament ID86 x OD90 mm
R24L03,5019989,"Handle valve Alfa laval LKB (F ) 1-2,5"""
R08L02,5019990,Shaft Screuw Dump Shicktube Veyor
R02L02,5019991,Plat Penahan Washer Bracket Mounting
R09L03,5019993,"Long Sealer Heater PN. 38, Tokiwa"
R09L03,5019994,"Thermocouple PN. 56, Tokiwa"
R20L04,5019996,Kapasitor 70 mF 450 V dia. 50 mm
F0101,5020007,Actuator 07 Complete With A/P Positioner
R32L02,5020047,"Pipa Glv 2"" Sch 40"
R19L01,5020064,"Spie As Gear uk. 60x12x9 mm, Besi Harden"
L02L04,5020101,Bearing 6904 2RS/LLU NSK
L02L07,5020102,"Seal Mekanik SC 25-48-8, NOK"
L02L07,5020103,Seal Mekanik TC 30-48-8 NOK
R05L05,5020113,Sock Conduit uk. 20 Clipsal
R20L05,5020115,Negative Pressure Vacuum Contr Automa-88
R31L03,5020135,Seal Valve As Dia. 12mm Silicone Putih
R14L02,5020136,Ink HITACHI Type 1114K
R14L02,5020137,Make-Up HITACHI Type S1018
R26L02,5020139,Baut SS 304 uk. M12 x 100 mm
R07L01,5020147,Kabel BC 16 mm
L02L05,5020195,"Seal Bar Fulcrum Pin RP0110, E10067"
R19L03,5020217,Mekanikal Seal NGK50-32-160 BAQE
R08L04,5020218,Bushing Kuncian Lifting Mat. Teflon
R08L04,5020219,Boss Kuncian Lifting Assy SS304
R31L03,5020229,Seal Tutup Hoper Filling Silicone
R08L05,5020231,"Under Voltage U-PKZ0, 230V Eaton"
R08L05,5020232,Box Switch C1-K2-PKZ0-G Eaton
R31L03,5020233,"Valve Kuningan 1/4"" Male x 1/4"" Female"
L01L06,5020245,Connector Type XG4M-5030-T Omron
R02L02,5020248,"Vacuum Pad PCG-15-N, Convum"
R24L03,5020257,"Ball Valve for Steam 3/4"" Spirax Sarco"
R24L03,5020258,"Ball Valve for Steam 1/2"" Spirax Sarco"
R17L01,5020259,"Seal Piston Cylinder A PGY-100, CNL"
R11L05,5020331,Pressure Gauge MA-50-16-1/4 356759 Festo
R11L05,5020332,"Seal Klem Ferrul Uk 4"", Silicon Foodgrad"
R05L01,5020333,Coupling FCL200 Set Lubang 6 Dia As 42mm
F0401,5020334,Purell PE 1840H
R09L02,5020341,"Shaft Rotary Sealer Ø19x110, Ulir Kiri"
R17L01,5020343,"Seal O-Ring ID 100 x 3 mm, NBR"
R17L01,5020344,"Seal Safety Ring ID 39 x OD 49 x 8,5 mm"
R17L01,5020345,"Seal Wiper ID 30 x OD 40 x 8,5 mm"
R17L01,5020346,"Seal Wiper ID 30 x OD 48 x 8,5 mm"
R16L02,5020363,"Pressure Gauge 100mmx10 kgf/cm2, 1/2"""
R01L04,5020374,Skun Kabel AC Female
R01L04,5020375,Skun Kabel SC 4-5
R01L04,5020376,Skun Kabel SC 6-6
R01L04,5020377,Skun Kabel SC 10-6
R01L04,5020378,Skun Kabel SC 16-8
R19L04,5020379,Seal Mekanik/Oil Seal TC 18-32-7 NOK
R26L02,5020385,Baut + Mur M16 x 70 mm BS
R19L05,5020414,"Belt 5M*295-14, CR-250A"
R19L05,5020415,Scroll Wheel Shaft CR250-B20-1002
R19L05,5020417,"Brake Spring A01-5024-0001, CR250A"
R19L05,5020418,Bearing 6800 ZZ SKF
R19L05,5020420,"Belt 5M*375-14, CR-250A"
R19L05,5020421,"Belt 5M*520-95, CR-250A"
R01L03,5020452,Selector Switch 3 Position Auto Off Man
R02L02,5020453,"Mounting Roller Sach Dia.45x15,5mm SS304"
R02L01,5020454,Shaft Roller Conveyor Dia 15x404mm SS304
R18L01,5020486,Timer STPY-M6 220VAC FOTEK
R04L03,5020495,"Chip Lampu PJU 50 W, 220VAC Cobra Kuning"
3211003891,5020500,EZJ93 Assembly Parts PN. 451577
R19L05,5020502,Carbon Housing 4R
R26L02,5020503,Mur/Nut Metrik M18 Baja
F0101,5020504,"Long Drat M18 Black Steel, @ 1 mtr"
R32L02,5020506,"Pipa Hollow Glv 30x30x2 mm, 6mtr"
R19L05,5020508,Carbon Brass 18x10x8 mm
R19L05,5020509,Habasit Belt Uk. 1030x200 mm
R19L05,5020510,Bantalan Finger Standart I
R19L05,5020513,Heater Center Sealer
R19L05,5020516,Ring Carbon
R16L04,5020532,Pylox Warna Putih
R07L06,5020545,"Silicone Hose 9,5 X 3,2 D00T006046"
R07L06,5020546,"Silicone Hose 6,0 X 3,0 D00T006045"
R31L03,5020558,"Roda PU Uk. 1,5 Inchi Memutar"
R31L03,5020559,"Roda PU Uk. 1,5 Inchi Memutar + Rem"
R26L03,5020561,Baut Kupu-Kupu SS M6x60 mm
L02L03,5020562,"Bearing 6002N ZZ, NSK"
R02L02,5020588,"Plate Adjust Pitch Sensor KD, As Sample"
L02L05,5020605,Baut SS L4 uk. M5 x 40
R16L02,5020606,Cat Spray Hitam Pylox
R19L05,5020620,Fiber Optic FU-63 Keyence
R19L05,5020629,Fiber Optic FU-35FZ Keyence
R19L05,5020630,"Lensa Optic F-2HA, Keyence"
R15L01,5020642,"Cat Propan Multipox MX-99, Alabaster"
R06L05,5020660,Lem Epoxy Dextone 5 Menit
R15L05,5020663,Kasa Gypsum
R33L01,5020664,Kompon A Plus @ 20 kg
R16L02,5020665,Refill Bulu Kuas Roll Besar
R15L01,5020668,"VIP Paint Remover, Perontok Cat @ 1 ltr"
R33L02,5020669,Thinner A @ 5 liter
R33L01,5020670,Cat Macademia 8116 Propan @ 20 ltr
R33L01,5020671,Cat Epoxy Polyfloor Blue Purple @ 20 ltr
R15L02,5020672,Cat Besi Kuning Ftalit @ 1 liter
F0201,5020674,Plat Siku SS 304 uk. 100x100x2xP.1200 mm
R24L03,5020693,"Valve SS 304 1/4"" Type Ball Valve"
R25L04,5020709,Ring/Flat Washer M10 SS @ 100 pc
R26L03,5020710,Mur/Nut Metrik M10 SS @ 100 pc
R19L02,5020713,"Air Cylinder SDA2030C, CHELIC"
R19L02,5020715,"Power Supply S-15-24, 24VDC-0,7A FORT"
R02L02,5020721,"Tatakan Pusher KD Dia.38x6mm, Mat. PU"
R05L03,5020750,"Digital Temp. Cont. 40-110, XY-DT01"
R24L04,5020751,"Flow Motorized Ball Valve DN50 2"" 2 Way"
R07L05,5020752,"Solid Relay V23100-S2034-A825, Siemens"
R23L03,5020774,"Flange Las 1 1/2"" DN40"
R10L02,5020785,"O-Ring ID 28x3 mm, NBR"
F0301,5020786,Acrylic Prismatic Diffuser Ligth Sheet
R01L02,5020834,"MCB 1 Ph 2 Pole 6 Amp, Schneider"
R13L02,5020850,Belt NAB-5EEDV+ProfilePVS-10C 1475x145x1
F0101,5020898,Lampu BN398C LED40/CW L1200 PSU OP
L01L04,5020899,Pressure Switch ISE20B-R-M-01-W SMC
R09L04,5020963,Belt 2500 x 370 type NSW-5ELAV Habasit
R02L01,5020969,"Nip Roller Body KD, As Sample"
R10L01,5020997,"Rubber Support Mesh Glatt, As Sample"
R31L03,5020998,"Gasket Rubber Victaulic 3"" 75/77"
R06L05,5021011,Interflon Grease HTG Aerosol
R08L03,5021074,"Pneumatic Rod seal EU 25 x 35 x 11,2"
R07L04,5021082,Oil Seal TC 30 x 40 x 8 NBR
R07L04,5021083,"Double Lip Seal Huttlin, Lokal Part"
R25L05,5021092,Klem Slang SS HD 227-239 mm
R25L05,5021093,Klem Slang SS HD 240-252 mm
R25L05,5021094,Klem Slang SS HD 86-91 mm
R25L05,5021095,Klem Slang SS HD 175-187 mm
R19L05,5021096,Plastik Coupling Spacer CR250
R07L02,5021105,"Bearing SA206, FYH"
R26L04,5021132,Baut SS L3 Biasa M4 x 15 mm
R19L04,5021136,AS + Bushing Hand Pallet BT As Sample
L01L05,5021170,Terminal Block PTU-80 68A 600V TOYOGIKEN
R10L03,5021183,Bushing Igus SFRJ-3000-0727-51 IDJ2
R10L03,5021184,Bushing Igus SFRJ-2500-0720-38 IDJ2
R32L01,5021185,"Pipa BSP 3"" sch 40 sm/5 BS SEAMLESS"
R32L01,5021186,"Pipa BSP 2 1/2"" sch 40 sm/5 BS SEAMLESS"
R10L02,5021194,"Bushing Sampling ID40xOD50x50 mm, Teflon"
R08L02,5021213,Sambungan Rantai RS-60
R08L01,5021214,Rantai RS-60
F0201,5021215,"Mesh Double Mesh 100 SS, L=1200 mm"
R25L05,5021242,"Klem Selang Kawat Uk. 2"""
R25L05,5021243,"Klem Selang Kawat Uk. 2 1/2"""
L01L03,5021249,"Battery PLC KV-B1, Keyence"
R17L02,5021282,Toggle Clamp Latch 3180N C-LD-431
R17L03,5021285,Sight Glass Circular Dia. 10x125 mm
R19L03,5021292,"Mekanikal Seal for CDLF-8-190, CNP"
R07L01,5021299,"Kabel Tahan Panas FRC 3 x 1,5 mm"
3215003148,5021300,"OVERLOAD FSM-1/FAW 42VAC 46965744,DEMAG"
R06L02,5021306,Cover Switch M PN. 451333
R28L03,5021313,"Oli Gear Box FG EP Gear Fluid 220, Halal"
L02L06,5021362,Shutter Close Cam Topack 4
F0201,5021370,Screen 100 um 316 PN. 1-999-03163801517
R19L04,5021372,Seal Wiper 18x26x6 839N0180 46308 Halite
L01L01,5021395,CB Motor M91Z60HV4Y PN. RF1650A
R08L02,5021441,Gland Packing Pure Teflon uk. 8 x 8 mm
R02L06,5021443,Load Cell SLB215-220kg 5m 72258650
R08L02,5021489,Seal Kits For 90-1270-21903-536 Bray
R10L03,5021501,"Pneum.val PV-SV-5/2-G1/2"" PN.1-999-61045"
F0301,5021514,"Filter M336-010-001 VariCel VXL98, AAF"
F0301,5021515,"Filter M336-010-003 VariCel VXL98, AAF"
R32L02,5021529,"List U Stainless 10x10x10x0,8 mm"
R11L05,5021530,Spider Gasket SPX 714 HAYWARD
R09L05,5021545,Module Standar I/O type E82ZAFSC Lenze
R19L04,5021590,Circlip Pn. 50052937
F0301,5021591,Sika Grout 215
R19L05,5021607,DC Power LRS-100-24
R19L05,5021608,"Sensor Probe M4-FU-77, KEYENCE"
R19L05,5021609,"Encoder ES38-1000-2-C-B467, ETEK"
R19L05,5021610,"Sensor Label XUYANEP40002, XUYANG"
R11L05,5021625,Dosing Pump Service Kit PN. V0305110
F0201,5021631,Impeller DC AAF Portable
R02L04,5021641,Solenoid Valve CKV010-4E CONVUM
R04L06,5021648,"Lampu LED 18,5W 3400lm 1200 Rentia"
F0101,5021655,Iglidur SFPA180-20-500-300 IGUS
L01L06,5021656,Photoelectric Sensor E3X-NA41 2M Omron
R19L05,5021669,Reducer 5GU-9K
R19L05,5021670,AC Motor 5IK120-5GU
R25L02,5021758,Fitting Angin KQ2H06-M6 SMC
R19L04,5021760,Bolt PN. 50137109 Jungheinrich
R02L01,5021798,Nip Roller Pulley Feeding KE
R33L05,5021842,Oli Refrigerant 00048 Trane
R19L04,5021882,Locking Device PN. 50469480 Jungheinrich
R19L04,5021885,Scraper PN. 50060756 Jungheinrich
R19L04,5021890,Ring PN 50471116 Jungheinrich
F0201,5021943,Cover Lampu TCW097 1XTLD36 120cm Philips
R02L02,5021947,"Flexible Hose 15x17x113x0.5mm, Silicone"
R19L05,5021951,Coupling Labelling Plossa
R06L03,5021964,"Fan D08A-24TS2 01, 80x80x25 mm, Nidec"
L02L07,5022005,"Air Cylinder Pneu. CDM2E32-25-H7A1S, SMC"
R24L03,5022018,"Valve 3/4"" SS 316 KITZ, Type Ball"
L01L05,5022019,Vacuum Ejector MC22S10HS21LC4BLR CONVUM
R08L04,5022047,Drive Shaft Lifting Device
R31L03,5022054,"Bushing ID12xOD14x15 mm, Nylon"
R31L03,5022055,"Bushing ID10xOD12x15 mm, Nylon"
L02L07,5022058,"Bowl Sparator AM-CA250C-D, SMC"
L02L07,5022059,Vacuum Pad w. Adapter ZP3-08BS-A5 SMC
R08L04,5022079,Shaft Lifting Device Mat VCN Hard Chrome
F0101,5022137,Gear Motor 157/28L113200 PN.S1.B04.00203
R12L05,5022138,"Chain RS35,Link, Connec PN. S1.L11.00684"
R09L03,5022142,"Encoder E50S8-1024-3-N-24,12-24 Autonics"
R07L03,5022155,"Power Supply ABL2REM24045K, Schneider"
F0201,5022173,"Mesh SUS Uk. 40, SS 304"
R19L04,5022174,"Load Wheel PN. 50052962 PU, Jungheinrich"
R19L04,5022175,"Wheel Steering PN. 50303620 PU, Junghei"
L02L06,5022191,IG Bush WSM-1012-15
R26L04,5022261,"Baut L Perseng M6 x 20 mm, SS304"
R32L02,5022262,Besi Hollow hitam 60mmx60mmx3mmx6 meter
R02L02,5022264,"Pin Vacuum pad KD, SS304"
R31L03,5022270,Filter catrid LFP-D-MAXI-5M 159641 Festo
R11L04,5022275,Sensor Conductivity CS51LC MYRON
3210000334,5022275,Sensor Conductivity CS51LC MYRON
R31L03,5022276,Filter catrid LFP-D-MIDI-5M 159594 Festo
STG-SUP-S2,5022306,CMS Black Ink 131.M299.121
R14L03,5022306,CMS Black Ink 131.M299.121
R10L03,5022308,"Straight Connector ID12,7mm PN.N680-6005"
R19L02,5022319,"Power Supply LFVLT60-3000S61, EOS"
R18L02,5022336,BEARING UC 308 FYH
R18L03,5022377,Gland Packing Konner K5015
R01L03,5022378,Pneumatic Check Valve ф 10 mm
R18L04,5022391,Differential Pressure DG50A
R18L04,5022392,Auto Drain FD6
F0401,5022421,Set of Spare Parts for Valves 1182188
F0401,5022422,Set of Spare Parts for Valves 2166657
F0401,5022423,Sealing Ring 1945696
F0401,5022424,Threaded Union 2063026
F0401,5022425,O-ring ISO3601-1-B-FKM80-200 x3-N1237802
F0401,5022426,O-ring ISO3601-1-B-EPDM70-8 x2- N3357457
F0401,5022427,O-ring ISO3601-1-B-EPDM70-3 x1-N 1572423
F0401,5022428,"O-ring ISO3601-1-BFKM70-22 x1,5-N0088544"
F0401,5022429,O-ring ISO3601-1-B-NBR70-20 x2-N 0086282
F0401,5022430,Hose 1987682
F0401,5022431,Hose 1987666
F0401,5022432,Hose 1987674
F0401,5022433,Flange Bush 2232812
F0401,5022434,"O-ring ISO36011BFKM70-11,1 x1,6-N0088099"
F0401,5022435,O-ring ISO3601-1-B-FKM80-13 x1-N 1258672
F0401,5022436,O-ring 7006985
F0401,5022437,O-ring ISO3601-1-B-VMQ70-200x3-N 1803077
F0401,5022438,"O-ring ISO36011BEPDM70-15,3x2,4-N3357465"
F0401,5022439,O-ring ISO3601-1-B-EPDM70-4 x2-N 3357392
F0401,5022440,O-ring ISO3601-1-B-VMQ70-210x3-N 1803069
F0401,5022441,Seal Inflatable 2038625
F0401,5022442,Guide Band 1050842
F0401,5022443,O-ring ISO3601-1-BFKM70-210x3-N 1459821
F0401,5022444,"O-ringISO36011BEPDM70 17,17x1,78N2286857"
F0401,5022445,"O-ringISO36011BVMQ70-18,72x2,62N1635468"
F0401,5022446,"O-ring ISO36011BEPDM70-4,2 x1,9N3357384"
F0401,5022447,"O-ringISO36011BEPDM70-2,84x1,78N3357376"
F0401,5022448,Membrane Strip 3256277
F0401,5022449,Documentation Updated 1887343
F0401,5022450,"O-ringISO36011BEPDM70-25,07x2,62N1584456"
F0401,5022451,Membrane 3290947
F0401,5022452,"O-ring ISO36011BEPDM70-6x1,5 -N 3357406"
F0401,5022453,Set of Spare Parts for Valves 1174517
F0401,5022454,Set of Spare Parts for Valves 1172468
F0401,5022455,Membrane 7164696
F0401,5022456,Membrane 2277506
F0401,5022457,Sealing Ring 3358259
F0401,5022458,Sealing Ring 1908545
F0401,5022459,Sealing Ring 1945734
F0401,5022460,Sealing Ring 1945726
F0401,5022461,Sealing Ring 1945742
F0401,5022462,Sealing Ring 1945717
F0401,5022463,Sealing Ring 1945687
F0401,5022464,"O-ring ISO36011BEPDM70-6,00x2,5-N1063723"
F0401,5022465,Sealing Ring 3011461
F0401,5022466,O-ring ISO3601-1-B-FKM80-10x5-N 1208349
F0401,5022467,Hexagon Nut ISO10511 A2 M 8 0049549
F0401,5022468,Cup Spring 0054763
F0401,5022469,Sealing Ring 1945742
F0401,5022470,"O-ring ISO3601-1-BEPDM70-6x1,5 N 3357406"
R10L03,5022486,"Press Regulator VRPA-LM-M5-Q6, Festo"
R07L04,5022503,Sealing Profile Huttlin PN. D00T024146
R07L04,5022505,"Seal Silicone Mesh Huttlin uk.14x6x2,4mm"
R03L02,5022514,Carton Guide NAFM Mat. Plate Spring
R12L05,5022523,Spring PN. S1.B04.00345 Best Pack
L02L05,5022527,Baut M6 X 15 mm SUS 304
L02L05,5022528,Baut Wing M5 X 16 mm SS
R26L04,5022529,Baut JP Plus M4X8 mm SS @ Pack 100 Pcs
R26L04,5022530,Baut Hex Plus M5X10 mm SS @ Pack 100 Pcs
L02L02,5022532,"Seal Bar 145A RP8001+Z, E10067"
L02L02,5022533,"Seal Bar 145B RP8002LZ, E10067"
L02L02,5022534,"Seal Bar 145C RP8003+Z,etc, E10067"
R25L01,5022561,"Reduser Las 5"" x 6"" BS SCH 40"
F0301,5022562,Resin Cation Softener Boiler
F0201,5022633,Wire Strip Modular GL-2 Habasit
R02L05,5022642,HMI GT2105-QTBDS Mitsubishi
R25L04,5022685,Ring Plate M5 SUS  @ PAC = 100 pcs
L02L05,5022689,Baut Wing M6 X 12 mm SS
R02L04,5022827,"Photosensor Suppression BIP/N-D3B, BION"
F0201,5022862,Finned Heater Fan Multi Form 220V 2500W
R03L04,5022982,"Plate Pusher Carton NAFM, Mat. Teflon"
R03L04,5022984,Pusher Carton AS Vietnam Mat. Teflon
R07L02,5022990,Adapter Sleeve Bearing H2307
R33L04,5023077,Inverter VLT FC-111P3 PN131X6116 3KW/4HP
R09L03,5023082,"Knife Upper/Pisau Tokiwa, Lokal Part"
L01L05,5023108,Encoder Rotary E50S8-5000-3-N-24 Autonic
R24L03,5023137,"Ball Valve for Steam 1"" Spirax Sarco"
F0201,5023141,Medium Filter 593x593x100 90%-95% KOWA
F0201,5023142,Hepa Filter Size 610x305x70 mm KOWA
F0201,5023143,Hepa Filter Size 1220x610x70 mm KOWA
R19L04,5023152,Linkage PN. 50410215 Jungheinrich
R19L04,5023153,Ball Tiller Arm PN.50470830 Jungheinrich
R07L02,5023158,Bearing UK210+H23 Sleeve FYH
R09L04,5023166,"Support Shaft Head Kalfas, Part Lokal"
R09L04,5023167,Bracket Shaft Head Kalfas Part Lokal
R09L04,5023168,"Shaft Head Pisau Kalfas, Part Lokal"
R09L03,5023215,Switching Hub FL Switch-SFNB 5TX Phoenix
R09L03,5023218,Compact Flas Memory RCF-X1GY Buffalo
R09L03,5023219,Motion Module JAPMC-MC2310-E Yaskawa
R09L03,5023220,I/O Module JAPMC-IO2303-E Yaskawa
R09L03,5023221,Analog Output JAPMC-AN2310-E Yaskawa
R09L03,5023222,PLC 1 Battery JZSP-BA01 Yaskawa
R09L03,5023223,"Servo Pack SGDV-R90A11B 0,1 kw Yaskawa"
R09L03,5023226,Inverter CIMR-JA2A0002BA 200W Yaskawa
R09L03,5023227,Switching Power Supply PS5R-SF24 Idec
R09L03,5023228,Kontaktor SC-N1 AC200V Fuji
R09L03,5023229,Proximity Switch APS4-12M-E-2M Koyo
R09L03,5023232,Safety Limit Switch WLNJ Omron
R09L03,5023233,Limit Switch Z-15GW4-B Omron
R07L02,5023240,Bearing 6306 ZZ C3 SKF
R31L04,5023251,Rubber Mounting Racking WIP
3212000077,5023291,Filter Infinity 90/100um PN.4-009927
3212000077,5023292,"Housing Lower Part (5,6,20,21) PN.299999"
R31L02,5023303,"Water Check Valve Butterfly 2"" Onda"
R11L04,5023310,"Gasket Ferrul 1,5"" EPDM Minox"
R11L04,5023311,"Gasket Ferrul 1"" EPDM Minox"
R11L04,5023312,"Gasket Ferrul 0.75"" EPDM Minox"
R11L04,5023313,"Gasket Ferrul 0.5"" EPDM Minox"
R11L04,5023314,"Gasket Ferrul 1,5"" Silicone Minox"
R11L04,5023315,"Gasket Ferrul 1"" Silicone Minox"
R31L04,5023321,Pelampung Air Otomatis ONDA
F0201,5023440,Kabel NYYHY 5x2.5mm Supreme @ 100 mtr
F0201,5023441,Kabel NYYHY 5x4mm Supreme @ 50 mtr
R19L03,5023452,Bearing 6205 ZZ C3 SKF
R07L02,5023453,Bearing 6212 ZZ SKF
R07L02,5023543,Bearing 6206 ZZ C3 SKF
R07L02,5023544,Bearing 6307 ZZ C3 SKF
R07L02,5023545,Bearing 6310 ZZ SKF
L02L05,5023603,Baut M6X10 mm SS304 @ 100 Pc
L02L05,5023604,Baut M6X20 mm SS304 @ 100 Pc
F0301,5023605,Plat Bordes SUS 304 1220 x 800 x 3 mm
R32L02,5023606,Pipa Hollow SUS 304 40 X 40 X 3 mm
R07L05,5023622,Valve Terminal VTUG-18-VPT-B1T-Q10L-UR-Q
R07L05,5023623,Bus Node CTEU-PB Festo
R07L05,5023624,Socket NECB-M12G5-C2 Festo
R01L01,5023649,"SPIRAL WRAPPING BAND KS-6, KSS"
R01L01,5023650,"SPIRAL WRAPPING BAND KS-10, KSS"
R13L03,5023651,"O-RING, 6X1, AFLAS 70 PN 375291"
R13L03,5023652,"KIT,PRES DISCHARGE P4,P7,P10 PN 1028308"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
